16,18|16,18|16,18|16,18|16,18|16,18|16,18|16,18|16,18|16,18|16,18|16,18|16,18|16,18|16,18|16,18|16,18|16,18|16,18|16,18|16,18|16,18|16,18|16,18|16,18|16,18|16,18|16,18|16,18|16,18|
16,18|14,18|17,18|15,18|17,18|15,18|17,18|15,18|17,18|15,18|17,18|15,18|17,18|16,18|14,18|16,18|14,18|16,18|14,18|16,18|14,18|16,18|14,18|16,18|15,18|17,18|15,18|17,18|15,18|17,18|
16,18|17,18|17,18|17,18|17,18|17,18|17,18|14,18|14,18|14,18|14,18|14,18|15,18|15,18|15,18|15,18|15,18|15,18|16,18|16,18|16,18|16,18|16,18|17,18|17,18|17,18|17,18|17,18|17,18|14,18|
16,18|15,18|17,18|15,18|17,18|16,18|14,18|16,18|15,18|17,18|15,18|17,18|16,18|14,18|16,18|14,18|17,18|15,18|17,18|16,18|14,18|16,18|14,18|17,18|15,18|17,18|15,18|14,18|16,18|14,18|
16,18|17,18|17,18|17,18|14,18|14,18|15,18|15,18|15,18|16,18|16,18|16,18|17,18|17,18|17,18|14,18|14,18|15,18|15,18|15,18|16,18|16,18|16,18|17,18|17,18|17,18|14,18|14,18|14,18|15,18|
16,18|15,18|17,18|16,18|14,18|17,18|15,18|14,18|16,18|14,18|17,18|15,18|14,18|16,18|15,18|17,18|16,18|14,18|16,18|15,18|17,18|16,18|14,18|17,18|15,18|14,18|16,18|15,18|17,18|15,18|
16,18|17,18|17,18|14,18|15,18|9,1|9,1|9,1|9,1|8,1|8,1|8,1|8,1|8,1|8,1|8,1|8,1|8,1|8,1|15,18|15,18|16,18|16,18|17,18|17,18|14,18|14,18|15,18|15,18|16,18|
16,18|15,18|14,18|16,18|15,18|14,18|16,18|15,18|17,18|16,18|15,18|17,18|16,18|15,18|17,18|16,18|14,18|17,18|9,1|14,18|17,18|16,18|14,18|17,18|15,18|14,18|17,18|15,18|14,18|17,18|
16,18|17,18|14,18|15,18|15,18|16,18|17,18|17,18|14,18|15,18|16,18|16,18|17,18|14,18|14,18|15,18|16,18|17,18|9,1|14,18|15,18|15,18|16,18|17,18|14,18|14,18|15,18|16,18|16,18|17,18|
16,18|15,18|14,18|17,18|16,18|14,18|17,18|16,18|9,1|14,18|16,18|15,18|14,18|17,18|16,18|15,18|17,18|16,18|9,1|14,18|17,18|15,18|14,18|17,18|16,18|15,18|17,18|16,18|15,18|14,18|
16,18|17,18|14,18|15,18|16,18|17,18|14,18|15,18|9,1|9,1|9,1|9,1|9,1|9,1|9,1|9,1|9,1|9,1|9,1|17,18|14,18|15,18|16,18|17,18|14,18|15,18|16,18|17,18|14,18|14,18|
16,18|15,18|14,18|17,18|16,18|15,18|14,18|17,18|16,18|15,18|14,18|17,18|16,18|15,18|14,18|17,18|16,18|15,18|14,18|17,18|16,18|15,18|14,18|17,18|16,18|15,18|14,18|17,18|16,18|15,18|
16,18|17,18|15,18|16,18|17,18|14,18|15,18|16,18|17,18|14,18|15,18|16,18|17,18|14,18|15,18|17,18|14,18|15,18|16,18|17,18|14,18|15,18|16,18|17,18|14,18|15,18|16,18|17,18|15,18|16,18|
16,18|16,18|15,18|14,18|17,18|16,18|15,18|15,18|14,18|17,18|16,18|15,18|14,18|14,18|17,18|16,18|15,18|14,18|17,18|17,18|16,18|15,18|14,18|17,18|16,18|16,18|15,18|14,18|17,18|16,18|
16,18|14,18|15,18|16,18|17,18|15,18|16,18|17,18|14,18|16,18|17,18|14,18|15,18|17,18|14,18|15,18|16,18|14,18|15,18|16,18|14,18|15,18|16,18|17,18|15,18|16,18|17,18|14,18|16,18|17,18|
16,18|16,18|15,18|14,18|14,18|17,18|16,18|16,18|15,18|15,18|14,18|17,18|17,18|16,18|15,18|15,18|14,18|17,18|17,18|16,18|15,18|15,18|14,18|17,18|17,18|16,18|15,18|15,18|14,18|17,18|
