3
8,18|7,18|9,18|10,18|7,18|9,18|8,18|8,18|8,18|8,18|7,18|12,18|12,18|10,18|11,18|11,18|8,18|7,18|11,18|10,18|11,18|10,18|7,18|10,18|12,18|9,18|12,18|10,18|12,18|10,18|12,18|10,18|7,18|7,18|10,18|11,18|12,18|12,18|12,18|9,18|7,18|8,18|11,18|11,18|11,18|11,18|9,18|10,18|12,18|12,18|9,18|12,18|7,18|10,18|
8,18|7,18|12,18|8,18|9,18|7,18|7,18|8,18|10,18|12,18|12,18|8,18|8,18|12,18|9,18|11,18|7,18|7,18|9,18|8,18|7,18|9,18|12,18|11,18|12,18|10,18|10,18|10,18|9,18|12,18|9,18|7,18|7,18|12,18|8,18|9,18|11,18|12,18|11,18|11,18|9,18|8,18|12,18|11,18|7,18|9,18|7,18|11,18|8,18|8,18|8,18|7,18|9,18|8,18|
11,18|9,18|11,18|12,18|8,18|9,18|7,18|8,18|10,18|9,18|8,18|11,18|9,18|9,18|11,18|12,18|8,18|10,18|7,18|8,18|11,18|11,18|9,18|12,18|8,18|10,18|11,18|12,18|10,18|12,18|11,18|11,18|10,18|8,18|11,18|11,18|9,18|11,18|9,18|12,18|8,18|10,18|8,18|12,18|8,18|12,18|8,18|11,18|7,18|7,18|9,18|7,18|7,18|7,18|
8,18|12,18|8,18|11,18|10,18|12,18|7,18|12,18|8,18|12,18|10,18|7,18|10,18|12,18|10,18|7,18|8,18|7,18|12,18|11,18|10,18|11,18|7,18|8,18|11,18|12,18|8,18|10,18|9,18|8,18|8,18|12,18|8,18|11,18|10,18|10,18|11,18|9,18|10,18|12,18|10,18|11,18|11,18|7,18|7,18|7,18|7,18|10,18|8,18|10,18|7,18|9,18|10,18|10,18|
8,18|9,18|8,18|8,18|7,18|10,18|11,18|10,18|11,18|8,18|10,18|12,18|12,18|8,18|9,18|10,18|12,18|8,18|11,18|9,18|11,18|7,18|8,18|12,18|12,18|12,18|9,18|8,18|11,18|8,18|11,18|12,18|10,18|8,18|8,18|12,18|10,18|10,18|12,18|9,18|7,18|7,18|10,18|11,18|12,18|10,18|11,18|8,18|7,18|9,18|8,18|7,18|11,18|11,18|
9,18|10,18|9,18|7,18|8,18|9,18|12,18|7,18|10,18|11,18|12,18|11,18|12,18|9,18|8,18|9,18|11,18|10,18|10,18|10,18|7,18|10,18|7,18|7,18|12,18|9,18|11,18|7,18|12,18|12,18|9,18|7,18|9,18|10,18|11,18|10,18|11,18|9,18|7,18|12,18|7,18|12,18|8,18|11,18|8,18|10,18|8,18|9,18|7,18|8,18|9,18|11,18|10,18|11,18|
7,18|11,18|7,18|12,18|9,18|9,18|8,18|9,18|7,18|8,18|12,18|10,18|11,18|11,18|10,18|9,18|9,18|12,18|8,18|7,18|10,18|8,18|10,18|8,18|8,18|7,18|10,18|8,18|8,18|8,18|8,18|8,18|9,18|7,18|8,18|11,18|11,18|11,18|8,18|9,18|11,18|12,18|9,18|9,18|7,18|12,18|8,18|11,18|9,18|11,18|9,18|7,18|7,18|7,18|
8,18|11,18|10,18|9,18|9,18|10,18|8,18|7,18|9,18|7,18|11,18|8,18|10,18|10,18|11,18|7,18|11,18|10,18|9,18|11,18|7,18|11,18|12,18|10,18|11,18|7,18|11,18|9,18|7,18|10,18|8,18|7,18|9,18|11,18|7,18|11,18|9,18|10,18|9,18|7,18|12,18|9,18|8,18|9,18|8,18|9,18|11,18|10,18|7,18|8,18|11,18|9,18|11,18|8,18|
8,18|12,18|11,18|9,18|7,18|11,18|7,18|10,18|8,18|12,18|12,18|11,18|7,18|9,18|10,18|9,18|12,18|10,18|8,18|12,18|10,18|11,18|11,18|11,18|11,18|11,18|10,18|12,18|10,18|9,18|9,18|12,18|11,18|7,18|7,18|8,18|12,18|7,18|8,18|7,18|8,18|12,18|7,18|10,18|12,18|8,18|11,18|10,18|8,18|12,18|8,18|12,18|9,18|7,18|
8,18|8,18|8,18|11,18|9,18|8,18|11,18|9,18|12,18|8,18|9,18|11,18|12,18|10,18|9,18|11,18|12,18|8,18|7,18|9,18|9,18|12,18|11,18|10,18|7,18|7,18|8,18|11,18|10,18|8,18|8,18|7,18|10,18|9,18|10,18|8,18|8,18|10,18|7,18|12,18|10,18|7,18|8,18|12,18|8,18|11,18|11,18|8,18|11,18|7,18|11,18|11,18|8,18|12,18|
