11,11|3,11|3,11|3,11|3,11|3,11|3,11|3,11|3,11|0,12|
6,11|0,1|9,1|9,1|9,1|9,1|9,1|9,1|7,1|17,11|
6,11|3,1|14,18|14,18|14,18|14,18|14,18|14,18|3,1|17,11|
6,11|3,1|14,18|14,18|14,18|14,18|14,18|14,18|3,1|17,11|
6,11|3,1|14,18|14,18|7,6|7,6|14,18|14,18|3,1|17,11|
6,11|3,1|14,18|14,18|9,6|9,6|14,18|14,18|3,1|17,11|
6,11|3,1|14,18|14,18|14,18|14,18|14,18|14,18|3,1|17,11|
6,11|3,1|14,18|14,18|14,18|14,18|14,18|14,18|3,1|17,11|
6,11|4,1|9,1|9,1|9,1|9,1|9,1|9,1|11,1|17,11|
5,12|2,12|2,12|2,12|2,12|2,12|2,12|2,12|2,12|6,12|
