4
6,18|6,18|9,18|9,18|9,18|5,18|10,18|5,18|4,18|10,18|4,18|9,18|9,18|4,18|4,18|8,18|9,18|7,18|8,18|6,18|5,18|8,18|6,18|6,18|8,18|7,18|6,18|10,18|8,18|8,18|7,18|9,18|9,18|7,18|7,18|8,18|6,18|8,18|5,18|10,18|9,18|6,18|4,18|6,18|4,18|5,18|9,18|6,18|10,18|9,18|4,18|8,18|7,18|4,18|5,18|5,18|5,18|5,18|6,18|4,18|
10,18|8,18|4,18|9,18|8,18|7,18|10,18|10,18|4,18|8,18|4,18|8,18|10,18|9,18|7,18|8,18|5,18|5,18|5,18|6,18|10,18|6,18|4,18|10,18|8,18|8,18|6,18|5,18|9,18|10,18|4,18|10,18|4,18|4,18|8,18|7,18|8,18|10,18|8,18|4,18|8,18|7,18|9,18|6,18|7,18|7,18|5,18|9,18|4,18|8,18|6,18|9,18|4,18|5,18|4,18|9,18|9,18|6,18|8,18|10,18|
8,18|9,18|6,18|10,18|7,18|5,18|5,18|8,18|7,18|9,18|9,18|10,18|9,18|10,18|5,18|7,18|9,18|5,18|4,18|8,18|9,18|8,18|7,18|7,18|5,18|5,18|4,18|6,18|6,18|6,18|8,18|7,18|4,18|10,18|5,18|6,18|7,18|9,18|10,18|9,18|15,6|16,6|16,6|16,6|16,6|16,6|16,6|16,6|16,6|17,6|9,18|5,18|5,18|8,18|5,18|7,18|7,18|8,18|9,18|10,18|
10,18|4,18|8,18|5,18|9,18|10,18|10,18|10,18|4,18|9,18|8,18|7,18|10,18|9,18|6,18|7,18|4,18|6,18|8,18|8,18|10,18|7,18|4,18|6,18|6,18|6,18|9,18|10,18|9,18|8,18|15,14|6,15|4,15|5,15|6,15|6,14|4,18|7,18|9,18|4,18|3,6|13,5|13,5|13,5|13,5|13,5|13,5|13,5|13,5|14,5|4,18|9,18|5,18|10,18|10,18|9,18|10,18|5,18|5,18|5,18|
8,18|5,18|4,18|5,18|4,18|4,18|9,18|4,18|10,18|6,18|8,18|7,18|4,18|6,18|7,18|6,18|5,18|7,18|10,18|10,18|7,18|6,18|9,18|9,18|6,18|5,18|6,18|10,18|9,18|5,18|1,15|7,17|7,17|7,17|15,17|9,14|8,18|10,18|6,18|9,18|14,6|13,5|13,5|13,5|13,5|13,5|13,5|13,5|13,5|2,6|6,18|6,18|9,18|5,18|7,18|9,18|6,18|7,18|4,18|5,18|
9,18|8,18|6,18|8,18|8,18|6,18|9,18|6,18|10,18|7,18|9,18|4,18|10,18|5,18|9,18|9,18|9,18|4,18|7,6|7,6|7,6|7,6|7,6|7,6|7,6|7,6|7,6|7,6|8,18|10,18|0,15|7,17|7,17|7,17|7,17|7,14|8,18|7,18|7,18|9,18|14,6|13,5|13,5|13,5|13,5|13,5|13,5|13,5|13,5|2,6|6,18|6,18|7,18|9,18|10,18|6,18|4,18|8,18|5,18|5,18|
7,18|5,18|5,18|7,18|9,18|5,18|4,18|9,18|8,18|6,18|8,18|8,18|7,18|7,18|5,18|5,18|5,18|15,6|13,5|13,5|13,5|13,5|13,5|13,5|13,5|13,5|13,5|13,5|17,6|8,18|1,15|7,17|7,17|7,17|7,17|9,14|5,18|6,18|4,18|8,18|14,6|13,5|13,5|13,5|13,5|13,5|13,5|13,5|13,5|2,6|6,18|6,18|4,18|9,18|8,18|8,18|8,18|5,18|7,18|10,18|
8,18|5,18|7,18|7,6|7,6|7,6|7,6|7,18|4,18|15,14|6,15|6,15|5,15|4,15|5,14|5,18|5,18|14,6|13,5|13,5|13,5|13,5|13,5|13,5|13,5|13,5|13,5|13,5|2,6|4,18|18,14|7,17|7,17|15,17|7,17|7,14|8,18|7,18|9,18|6,18|9,6|9,6|9,6|9,6|9,6|9,6|9,6|9,6|9,6|9,6|6,18|5,18|9,18|10,18|4,18|6,18|6,18|5,18|8,18|7,18|
8,18|5,18|15,6|13,5|13,5|13,5|13,5|17,6|9,18|1,15|8,17|11,17|8,17|8,17|9,14|5,18|5,18|9,6|9,6|9,6|9,6|9,6|9,6|9,6|9,6|9,6|9,6|9,6|9,6|10,18|1,14|2,14|3,14|4,14|4,14|18,13|4,18|4,18|6,18|7,18|5,18|4,18|6,18|4,18|5,18|5,18|5,18|5,18|5,18|5,18|9,18|5,18|7,18|9,18|8,18|6,18|8,18|7,18|7,18|9,18|
4,18|7,18|14,6|13,5|13,5|13,5|13,5|2,6|6,18|0,15|8,17|8,17|8,17|8,17|9,14|5,18|5,18|5,18|9,18|7,18|7,18|10,18|4,18|10,18|7,18|5,18|4,18|6,18|9,18|6,18|7,18|6,18|8,18|6,18|7,18|7,18|7,18|4,18|9,18|10,18|6,18|10,18|9,18|10,18|11,18|5,18|4,18|4,18|4,18|10,18|9,18|8,18|8,18|7,18|5,18|6,18|6,18|10,18|7,18|10,18|
